Código;Nome;Valor hora;Data;Entrada;Saída;Almoço
1;Nicola Brown;R$ 4,21;07/04/2024;8:03:09;19:12:51;11:24 - 13:00
1;Nicola Brown;R$ 8,24;04/04/2024;8:16:46;19:11:11;12:18 - 13:00
1;Nicola Brown;R$ 1,74;18/09/2023;8:21:46;19:49:11;12:46 - 13:00
1;Nicola Brown;R$ 7,71;30/07/2024;8:35:07;20:57:36;11:35 - 13:00
5;Tessi Oloshin;R$ 6,73;20/10/2023;8:56:06;20:35:53;11:14 - 13:00
6;Ed Hillin;R$ 4,75;20/09/2023;8:55:00;19:39:04;12:33 - 13:00
7;Vanni Kruschev;R$ 9,68;11/03/2024;8:56:00;20:32:56;11:47 - 13:00
8;Othello Gley;R$ 5,05;08/09/2023;8:52:56;19:45:27;12:49 - 13:00
9;Lin McClements;R$ 9,82;24/06/2024;8:17:40;18:18:30;11:14 - 13:00
10;Sadie Sazio;R$ 7,46;13/11/2023;8:57:10;18:58:43;11:57 - 13:00
10;Sadie Sazio;R$ 5,38;09/05/2024;8:48:07;18:59:07;11:32 - 13:00
10;Sadie Sazio;R$ 3,39;23/04/2024;8:59:34;20:38:03;11:46 - 13:00
10;Sadie Sazio;R$ 3,16;28/04/2024;8:39:14;18:02:53;11:18 - 13:00
10;Sadie Sazio;R$ 4,18;18/04/2024;8:57:54;20:37:21;12:30 - 13:00
10;Sadie Sazio;R$ 3,62;18/07/2024;8:40:34;18:50:23;11:31 - 13:00
10;Sadie Sazio;R$ 9,23;02/06/2024;8:59:04;18:22:25;12:46 - 13:00
10;Sadie Sazio;R$ 3,64;29/10/2023;8:16:42;20:16:07;12:16 - 13:00
10;Sadie Sazio;R$ 9,28;10/06/2024;8:04:46;18:04:37;12:53 - 13:00
10;Sadie Sazio;R$ 7,64;01/11/2023;8:39:30;19:26:03;12:45 - 13:00
10;Sadie Sazio;R$ 3,85;18/02/2024;8:50:39;20:07:30;12:50 - 13:00
10;Sadie Sazio;R$ 7,46;13/11/2023;8:57:10;18:58:43;11:57 - 13:00
10;Sadie Sazio;R$ 5,38;09/05/2024;8:48:07;18:59:07;11:32 - 13:00
10;Sadie Sazio;R$ 3,39;23/04/2024;8:59:34;20:38:03;11:46 - 13:00
10;Sadie Sazio;R$ 3,16;28/04/2024;8:39:14;18:02:53;11:18 - 13:00
10;Sadie Sazio;R$ 4,18;18/04/2024;8:57:54;20:37:21;12:30 - 13:00
10;Sadie Sazio;R$ 3,62;18/07/2024;8:40:34;18:50:23;11:31 - 13:00
10;Sadie Sazio;R$ 9,23;02/06/2024;8:59:04;18:22:25;12:46 - 13:00
10;Sadie Sazio;R$ 3,64;29/10/2023;8:16:42;20:16:07;12:16 - 13:00
10;Sadie Sazio;R$ 9,28;10/06/2024;8:04:46;18:04:37;12:53 - 13:00
10;Sadie Sazio;R$ 7,64;01/11/2023;8:39:30;19:26:03;12:45 - 13:00
10;Sadie Sazio;R$ 3,85;18/02/2024;8:50:39;20:07:30;12:50 - 13:00
10;Sadie Sazio;R$ 7,46;13/11/2023;8:57:10;18:58:43;11:57 - 13:00
10;Sadie Sazio;R$ 5,38;09/05/2024;8:48:07;18:59:07;11:32 - 13:00
10;Sadie Sazio;R$ 3,39;23/04/2024;8:59:34;20:38:03;11:46 - 13:00
10;Sadie Sazio;R$ 3,16;28/04/2024;8:39:14;18:02:53;11:18 - 13:00
10;Sadie Sazio;R$ 4,18;18/04/2024;8:57:54;20:37:21;12:30 - 13:00
10;Sadie Sazio;R$ 3,62;18/07/2024;8:40:34;18:50:23;11:31 - 13:00
10;Sadie Sazio;R$ 9,23;02/06/2024;8:59:04;18:22:25;12:46 - 13:00
10;Sadie Sazio;R$ 3,64;29/10/2023;8:16:42;20:16:07;12:16 - 13:00
10;Sadie Sazio;R$ 9,28;10/06/2024;8:04:46;18:04:37;12:53 - 13:00
10;Sadie Sazio;R$ 7,64;01/11/2023;8:39:30;19:26:03;12:45 - 13:00
10;Sadie Sazio;R$ 3,85;18/02/2024;8:50:39;20:07:30;12:50 - 13:00
10;Sadie Sazio;R$ 7,46;13/11/2023;8:57:10;18:58:43;11:57 - 13:00
10;Sadie Sazio;R$ 5,38;09/05/2024;8:48:07;18:59:07;11:32 - 13:00
10;Sadie Sazio;R$ 3,39;23/04/2024;8:59:34;20:38:03;11:46 - 13:00
10;Sadie Sazio;R$ 3,16;28/04/2024;8:39:14;18:02:53;11:18 - 13:00
10;Sadie Sazio;R$ 4,18;18/04/2024;8:57:54;20:37:21;12:30 - 13:00
10;Sadie Sazio;R$ 3,62;18/07/2024;8:40:34;18:50:23;11:31 - 13:00
10;Sadie Sazio;R$ 9,23;02/06/2024;8:59:04;18:22:25;12:46 - 13:00
10;Sadie Sazio;R$ 3,64;29/10/2023;8:16:42;20:16:07;12:16 - 13:00
10;Sadie Sazio;R$ 9,28;10/06/2024;8:04:46;18:04:37;12:53 - 13:00
10;Sadie Sazio;R$ 7,64;01/11/2023;8:39:30;19:26:03;12:45 - 13:00
10;Sadie Sazio;R$ 3,85;18/02/2024;8:50:39;20:07:30;12:50 - 13:00
