Código;Nome;Valor hora;Data;Entrada;Saída;Almoço
1;Rosalinde Kiddie;R$ 4,99;13/11/2023;0:17:59;18:59:01;1:47:18
2;Gannon oldey;R$ 0,16;09/12/2023;2:33:53;18:07:52;4:22:41
3;Barty Madeley;R$ 2,79;10/05/2024;11:59:27;21:04:12;14:54:30
4;Birk Echlin;R$ 3,50;20/06/2024;1:18:07;1:24:29;19:56:29
5;Darbee Pidgley;R$ 8,26;03/05/2024;19:33:56;20:26:20;4:47:42
6;Harrison Jansema;R$ 3,22;02/11/2023;8:20:08;21:28:50;7:37:59
7;Letizia Willsmore;R$ 1,30;17/12/2023;1:14:47;3:15:25;14:08:35
8;Nedda Conduit;R$ 6,60;22/08/2023;10:18:35;4:53:10;0:23:34
9;Aida Gaynsford;R$ 4,17;13/08/2024;4:27:23;15:46:55;22:18:14
10;Kaleena Hockey;R$ 5,17;10/10/2023;5:55:10;5:33:56;22:40:20
