Código;Nome;Valor hora;Data;Entrada;Saída;Almoço
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
1;Chance Jantzen;R$ 1,74;27/02/2024;17:48:29;20:49:08;11:16 - 13:00
1;Chance Jantzen;R$ 3,61;17/11/2023;11:43:36;18:08:08;12:46 - 13:00
1;Chance Jantzen;R$ 1,81;26/02/2024;8:11:00;18:43:21;11:08 - 13:00
1;Chance Jantzen;R$ 9,78;26/06/2024;14:17:48;20:37:57;12:08 - 13:00
1;Chance Jantzen;R$ 4,44;18/05/2024;18:56:11;18:46:58;11:21 - 13:00
1;Chance Jantzen;R$ 4,71;03/06/2024;19:32:06;18:37:49;11:28 - 13:00
1;Chance Jantzen;R$ 0,40;05/05/2024;13:05:16;20:43:59;11:47 - 13:00
1;Chance Jantzen;R$ 5,25;17/11/2023;14:48:42;19:21:32;12:49 - 13:00
1;Chance Jantzen;R$ 0,68;05/05/2024;17:09:03;18:38:06;11:36 - 13:00
1;Chance Jantzen;R$ 2,92;15/08/2023;9:46:38;20:34:18;11:50 - 13:00
